"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
6141|"Pageant the Musical! Wisconsin Premiere!"|"Theater"|"Theater"|"US"|"USD"|"2015-01-22 00:00:00"|"2015-03-22 00:00:00"|59|5000.0|0.0|0|"failed"
6142|"Fantasy Football: Draft, Deals, and Dice (FF3D) (Canceled)"|"Tabletop Games"|"Games"|"US"|"USD"|"2015-08-10 00:00:00"|"2015-09-05 00:00:00"|26|15000.0|876.0|26|"canceled"
6143|"The dream notary"|"Fiction"|"Publishing"|"SE"|"SEK"|"2016-03-02 00:00:00"|"2016-04-01 00:00:00"|30|3092.64|61.85|1|"failed"
6144|"Dr. McNinja's Legendary Showdown"|"Tabletop Games"|"Games"|"US"|"USD"|"2013-10-23 00:00:00"|"2013-11-22 00:00:00"|30|15000.0|111661.04|2127|"successful"
6145|"The MELTIN'POT JEANS - The renaissance"|"Ready-to-wear"|"Fashion"|"IT"|"EUR"|"2017-09-18 00:00:00"|"2017-09-27 00:00:00"|9|17708935.93|120.42|4|"failed"
6146|"The Patch"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-03-08 00:00:00"|"2012-04-07 00:00:00"|30|2500.0|2630.0|31|"successful"
6147|"6 Impossible Things that are totally possible  POSTERS"|"Graphic Design"|"Design"|"US"|"USD"|"2012-11-19 00:00:00"|"2012-12-19 00:00:00"|30|500.0|1673.12|46|"successful"
6148|"Supply Drop™"|"Video Games"|"Games"|"AU"|"AUD"|"2014-12-05 00:00:00"|"2015-01-04 00:00:00"|30|814.33|0.0|0|"failed"
6149|"The 1st million is the hardest"|"Publishing"|"Publishing"|"DE"|"EUR"|"2015-08-13 00:00:00"|"2015-09-12 00:00:00"|30|1278933.0|0.0|0|"failed"
6150|"Bradley Philpot Master Class Challenge"|"Film & Video"|"Film & Video"|"GB"|"GBP"|"2017-11-29 00:00:00"|"2017-12-29 00:00:00"|30|540.69|162.21|12|"failed"
6151|"HELP THE BROADCAST KICKSTART A NEW STUDIO RECORD!"|"Rock"|"Music"|"US"|"USD"|"2012-04-19 00:00:00"|"2012-06-03 00:00:00"|45|7500.0|7801.02|74|"successful"
6152|"Coffee Run - Coffee At Your Door"|"Drinks"|"Food"|"US"|"USD"|"2016-08-03 00:00:00"|"2016-08-24 00:00:00"|21|21331.0|6.0|2|"failed"
6153|"Bronze twin-sculpture of Nelson and Zenani (ggd) Mandela"|"Public Art"|"Art"|"US"|"USD"|"2012-12-03 00:00:00"|"2013-02-01 00:00:00"|60|1000000.0|0.0|0|"failed"
6154|"Noah A Musical Adventure - An Exciting New Family Musical"|"Theater"|"Theater"|"GB"|"GBP"|"2014-02-28 00:00:00"|"2014-03-30 00:00:00"|30|16571.93|19919.46|212|"successful"
6155|"'Rottweiler' (Feature film development / true story)"|"Drama"|"Film & Video"|"GB"|"GBP"|"2016-01-07 00:00:00"|"2016-02-06 00:00:00"|30|11603.45|11675.97|97|"successful"
6156|"Bullet Casing Jewelry"|"Crafts"|"Crafts"|"US"|"USD"|"2015-12-31 00:00:00"|"2016-01-30 00:00:00"|30|2500.0|2503.0|37|"successful"
6157|"HIGH FIVE FINGERLESS"|"Fashion"|"Fashion"|"US"|"USD"|"2013-09-13 00:00:00"|"2013-10-13 00:00:00"|30|2200.0|1588.0|33|"failed"
6158|"High Quality Miniatures Terrain - Bases, Buildings, & More"|"Games"|"Games"|"US"|"USD"|"2013-09-27 00:00:00"|"2013-10-27 00:00:00"|30|3000.0|617.0|13|"failed"
6159|"Sokit Launcher"|"Product Design"|"Design"|"US"|"USD"|"2012-12-19 00:00:00"|"2013-01-18 00:00:00"|30|10000.0|3861.0|44|"failed"
6160|"The Worlds Toughest Headphones"|"Sound"|"Technology"|"US"|"USD"|"2017-02-07 00:00:00"|"2017-03-09 00:00:00"|30|40000.0|49002.0|337|"successful"
6161|"Wooden Ring Box (Canceled)"|"Product Design"|"Design"|"US"|"USD"|"2014-08-12 00:00:00"|"2014-09-11 00:00:00"|30|28000.0|3.0|1|"canceled"
6162|"Brewery and Distillery"|"Food"|"Food"|"US"|"USD"|"2014-04-29 00:00:00"|"2014-06-28 00:00:00"|60|26000.0|1324.0|20|"failed"
6163|"Just Jorie - Audiobook"|"Fiction"|"Publishing"|"US"|"USD"|"2016-02-19 00:00:00"|"2016-03-20 00:00:00"|30|2700.0|596.0|9|"failed"
6164|"TiltShift Rail: The customisable bike carrier"|"Product Design"|"Design"|"GB"|"GBP"|"2015-06-17 00:00:00"|"2015-07-16 00:00:00"|29|11695.18|4395.83|16|"failed"
6165|"Lessons From Jail"|"Publishing"|"Publishing"|"US"|"USD"|"2014-08-13 00:00:00"|"2014-10-12 00:00:00"|60|5000.0|0.0|0|"failed"
6166|"I've a dream..."|"Food"|"Food"|"IT"|"EUR"|"2015-09-08 00:00:00"|"2015-11-07 00:00:00"|60|43056.12|0.0|0|"failed"
6167|"Brohugs Podcast with Jere and Todd"|"Radio & Podcasts"|"Publishing"|"US"|"USD"|"2016-06-08 00:00:00"|"2016-07-08 00:00:00"|30|2000.0|11.0|2|"failed"
6168|"Symphonic II"|"Classical Music"|"Music"|"US"|"USD"|"2015-02-22 00:00:00"|"2015-03-24 00:00:00"|30|7000.0|468.0|13|"failed"
6169|"Goodbye Martha (Canceled)"|"Fiction"|"Publishing"|"US"|"USD"|"2012-01-30 00:00:00"|"2012-03-30 00:00:00"|60|3500.0|0.0|0|"canceled"
6170|"Bright Lights, Van City"|"Art"|"Art"|"CA"|"CAD"|"2017-03-24 00:00:00"|"2017-04-23 00:00:00"|30|13713.45|13915.72|65|"successful"
6171|"An Original Documentary (Canceled)"|"Documentary"|"Film & Video"|"US"|"USD"|"2013-07-30 00:00:00"|"2013-08-29 00:00:00"|30|12000.0|60.0|3|"canceled"
6172|"Brains On! - a science podcast for curious kids & grown-ups"|"Radio & Podcasts"|"Publishing"|"US"|"USD"|"2016-02-16 00:00:00"|"2016-03-17 00:00:00"|30|48000.0|54182.0|1007|"successful"
6173|"Help Fit For Rivals Make Their Next Album."|"Rock"|"Music"|"US"|"USD"|"2011-05-16 00:00:00"|"2011-06-15 00:00:00"|30|9500.0|10264.97|130|"successful"
6174|"Scumbags"|"Webseries"|"Film & Video"|"US"|"USD"|"2015-03-27 00:00:00"|"2015-04-26 00:00:00"|30|2500.0|450.0|7|"failed"
6175|"myRun"|"Apps"|"Technology"|"IT"|"EUR"|"2016-04-25 00:00:00"|"2016-05-25 00:00:00"|30|27919.86|322.75|9|"failed"
6176|"CO-PILOT"|"Nonfiction"|"Publishing"|"US"|"USD"|"2016-09-01 00:00:00"|"2016-09-23 00:00:00"|22|20000.0|0.0|0|"failed"
6177|"Vaiza First Two Sided Lightweight Blanket For Home/Adventure"|"Product Design"|"Design"|"US"|"USD"|"2016-09-19 00:00:00"|"2016-10-19 00:00:00"|30|15000.0|3742.0|30|"canceled"
6178|"The Pop Up Cinema"|"Movie Theaters"|"Film & Video"|"AU"|"AUD"|"2015-07-21 00:00:00"|"2015-09-19 00:00:00"|60|14031.15|0.0|0|"failed"
6179|"DEAD LINES"|"Comedy"|"Film & Video"|"GB"|"GBP"|"2015-03-04 00:00:00"|"2015-03-31 00:00:00"|27|5181.12|0.0|0|"failed"
6180|"Elegance Bicycle® Playing Cards Deck"|"Playing Cards"|"Games"|"ES"|"EUR"|"2017-11-09 00:00:00"|"2017-12-09 00:00:00"|30|11215.66|3774.36|107|"canceled"
6181|"Prepare for War: Make a record with Tyler Evanston Moore."|"Pop"|"Music"|"US"|"USD"|"2013-06-14 00:00:00"|"2013-07-19 00:00:00"|35|5000.0|1906.0|57|"failed"
6182|"The Adventures of Gingerella Peaceful Planet Project"|"Installations"|"Art"|"US"|"USD"|"2014-06-05 00:00:00"|"2014-07-05 00:00:00"|30|3500.0|3645.0|34|"successful"
6183|"Still Waters: A documentary"|"Documentary"|"Film & Video"|"GB"|"GBP"|"2016-10-05 00:00:00"|"2016-11-04 00:00:00"|30|35599.19|35923.96|135|"successful"
6184|"Cats Committing Crimes - Humor Comics Anthology"|"Anthologies"|"Comics"|"US"|"USD"|"2017-06-11 00:00:00"|"2017-07-11 00:00:00"|30|2184.0|2433.0|59|"successful"
6185|"Kid Active Kitchen"|"Food"|"Food"|"US"|"USD"|"2014-09-08 00:00:00"|"2014-10-08 00:00:00"|30|35.0|16.0|2|"failed"
6186|"Favor The Gods: An online community based game"|"Video Games"|"Games"|"US"|"USD"|"2010-09-25 00:00:00"|"2010-11-06 00:00:00"|42|8000.0|0.0|0|"failed"
6187|"The Ladon Device (Canceled)"|"Video Games"|"Games"|"US"|"USD"|"2015-11-11 00:00:00"|"2015-12-10 00:00:00"|29|100000.0|1915.0|28|"canceled"
6188|"Land of the Eternal Sun: Zac Monday's adventure to Iceland"|"Performance Art"|"Art"|"US"|"USD"|"2013-04-23 00:00:00"|"2013-05-16 00:00:00"|23|5000.0|5226.99|66|"successful"
6189|"Dining with Darling - Think like a chef on Public Television"|"Television"|"Film & Video"|"US"|"USD"|"2014-07-12 00:00:00"|"2014-08-11 00:00:00"|30|50000.0|5262.0|61|"failed"
6190|"KHLOE Magazine Launch Campaign"|"Journalism"|"Journalism"|"US"|"USD"|"2011-05-25 00:00:00"|"2011-07-09 00:00:00"|45|3500.0|4551.0|72|"successful"
6191|"Drink Coffee and Free from Poverty"|"Farmer's Markets"|"Food"|"NZ"|"NZD"|"2017-09-08 00:00:00"|"2017-10-13 00:00:00"|35|2498.93|0.0|0|"canceled"
6192|"Night Out: A unique drinking board game"|"Tabletop Games"|"Games"|"US"|"USD"|"2013-12-09 00:00:00"|"2014-01-08 00:00:00"|30|15000.0|6.0|2|"failed"
6193|"Unicorn Hard Enamel Pins"|"Accessories"|"Fashion"|"US"|"USD"|"2017-09-06 00:00:00"|"2017-09-30 00:00:00"|24|268.0|755.0|32|"successful"
6194|"Materia - An Alchemy Card Game"|"Tabletop Games"|"Games"|"US"|"USD"|"2017-07-10 00:00:00"|"2017-08-12 00:00:00"|33|3000.0|6192.0|198|"successful"
6195|"Flame-Broiled Fury - 2D Action-Platformer for mobile phones"|"Video Games"|"Games"|"US"|"USD"|"2012-08-01 00:00:00"|"2012-08-31 00:00:00"|30|10000.0|404.0|15|"failed"
6196|"Table banners for your parties. Unique concept!"|"Product Design"|"Design"|"US"|"USD"|"2011-11-11 00:00:00"|"2011-12-22 00:00:00"|41|8000.0|7780.0|58|"failed"
6197|"Creative Project: Melb Stylez"|"Electronic Music"|"Music"|"AU"|"AUD"|"2014-04-16 00:00:00"|"2014-05-16 00:00:00"|30|2807.94|0.0|0|"failed"
6198|"One Day: Across the Bridge"|"Documentary"|"Film & Video"|"US"|"USD"|"2017-10-30 00:00:00"|"2017-12-12 00:00:00"|43|300.0|330.0|5|"successful"
6199|"Joe Keithley DOA Punk Endorsed Limited Edition Galaxy Guitar"|"Punk"|"Music"|"CA"|"CAD"|"2016-01-26 00:00:00"|"2016-02-25 00:00:00"|30|3691.13|0.0|0|"canceled"
6200|"Starlight Fawn Enamel Pin"|"Art"|"Art"|"US"|"USD"|"2017-08-05 00:00:00"|"2017-09-04 00:00:00"|30|550.0|360.0|19|"failed"
6201|"Linemac Pro"|"DIY"|"Crafts"|"US"|"USD"|"2015-12-14 00:00:00"|"2016-01-13 00:00:00"|30|15000.0|21.0|3|"failed"
6202|"Peregrinate Travel Guides (Suspended)"|"Web"|"Technology"|"NZ"|"NZD"|"2016-01-07 00:00:00"|"2016-02-06 00:00:00"|30|508406.99|0.0|0|"suspended"
6203|"The Immortal Tournement"|"Webseries"|"Film & Video"|"US"|"USD"|"2012-08-14 00:00:00"|"2012-09-13 00:00:00"|30|400.0|41.0|3|"failed"
6204|"Das Pro und The Rookie"|"Film & Video"|"Film & Video"|"US"|"USD"|"2011-01-06 00:00:00"|"2011-02-05 00:00:00"|30|3500.0|9745.99|172|"successful"
6205|"Random Acts of Poetry"|"Public Art"|"Art"|"US"|"USD"|"2015-10-20 00:00:00"|"2015-11-30 00:00:00"|41|3000.0|3065.0|49|"successful"
6206|"Kumfurt Kritters are Love's Messengers"|"Product Design"|"Design"|"US"|"USD"|"2013-09-11 00:00:00"|"2013-10-11 00:00:00"|30|83000.0|210.0|3|"failed"
6207|"How I incubate a 13 years Nats Champions in RC car racing"|"Publishing"|"Publishing"|"HK"|"HKD"|"2016-11-21 00:00:00"|"2016-12-21 00:00:00"|30|6442.63|0.0|0|"failed"
6208|"Yes Man Sunnies: Affordable, Stylish, Handmade Sunglasses"|"Fashion"|"Fashion"|"US"|"USD"|"2014-08-18 00:00:00"|"2014-09-13 00:00:00"|26|5000.0|10226.0|229|"successful"
6209|"Anti Electromagnetic Fields 2 Radiation Eyewear/AE2 optical"|"Product Design"|"Design"|"US"|"USD"|"2017-10-31 00:00:00"|"2017-12-15 00:00:00"|45|18000.0|18380.0|148|"successful"
6210|"D.C. Bloom's new album, ""The Rest is Commentary"""|"Country & Folk"|"Music"|"US"|"USD"|"2014-05-21 00:00:00"|"2014-06-20 00:00:00"|30|5000.0|5010.0|78|"successful"
6211|"The Mumbles' Annunciation St."|"Jazz"|"Music"|"US"|"USD"|"2010-12-25 00:00:00"|"2011-01-24 00:00:00"|30|3000.0|3316.7|91|"successful"
6212|"Imprints of Life-Feature Film"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2013-03-15 00:00:00"|"2013-04-15 00:00:00"|31|7000.0|841.0|22|"failed"
6213|"Darwin vs The Machine: Interactive Documentary"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-07-06 00:00:00"|"2011-08-05 00:00:00"|30|22000.0|906.0|20|"failed"
6214|"Tall Tour II: Free live music at bike fun rides in Portland"|"Music"|"Music"|"US"|"USD"|"2011-06-09 00:00:00"|"2011-07-09 00:00:00"|30|1200.0|1200.66|36|"successful"
6215|"Seeking funding for the completion of a Sculpture"|"Sculpture"|"Art"|"US"|"USD"|"2011-01-03 00:00:00"|"2011-02-22 00:00:00"|50|17000.0|25.0|1|"failed"
6216|"CHILDISH: A Short Film (Canceled)"|"Comedy"|"Film & Video"|"US"|"USD"|"2015-09-12 00:00:00"|"2015-11-11 00:00:00"|60|10000.0|0.0|0|"canceled"
6217|"The Growth Journal"|"Stationery"|"Crafts"|"US"|"USD"|"2017-08-28 00:00:00"|"2017-08-31 00:00:00"|3|650.0|103.0|4|"failed"
