"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
1|"Ragdolls"|"Webseries"|"Film & Video"|"US"|"USD"|"2013-04-25 00:00:00"|"2013-05-25 00:00:00"|30|15000.0|20.0|3|"failed"
2|"One To Ten"|"Shorts"|"Film & Video"|"GB"|"GBP"|"2015-11-16 00:00:00"|"2015-12-16 00:00:00"|30|223.68|413.81|23|"successful"
3|"Future Gun - A short film about kids and advanced hardware"|"Animation"|"Film & Video"|"US"|"USD"|"2013-08-28 00:00:00"|"2013-09-27 00:00:00"|30|5000.0|1497.0|28|"failed"
4|"Fourth Wave Apparel—Vintage Fashion for the Modern Feminist"|"Apparel"|"Fashion"|"US"|"USD"|"2014-07-22 00:00:00"|"2014-08-21 00:00:00"|30|6000.0|8795.0|218|"successful"
5|"The Rich Lifestyle"|"Documentary"|"Film & Video"|"US"|"USD"|"2016-08-24 00:00:00"|"2016-09-28 00:00:00"|35|2000000.0|2.0|2|"failed"
6|"Perils Galore!"|"Illustration"|"Art"|"US"|"USD"|"2012-09-25 00:00:00"|"2012-11-01 00:00:00"|37|2500.0|230.0|5|"failed"
7|"In a Dark Dark House - Directed by Larry Moss"|"Theater"|"Theater"|"US"|"USD"|"2014-07-01 00:00:00"|"2014-08-15 00:00:00"|45|55000.0|9316.0|45|"failed"
8|"CHARLIEFOXTROTNY"|"Webseries"|"Film & Video"|"US"|"USD"|"2014-05-21 00:00:00"|"2014-06-20 00:00:00"|30|6000.0|161.0|4|"failed"
9|"Fat Englishmen - Beer and Sumo"|"Comedy"|"Film & Video"|"US"|"USD"|"2015-03-03 00:00:00"|"2015-04-02 00:00:00"|30|50000.0|0.0|0|"failed"
10|"bear elements old-fashioned shave and beard care for men"|"Crafts"|"Crafts"|"US"|"USD"|"2016-04-14 00:00:00"|"2016-05-14 00:00:00"|30|12000.0|306.0|11|"failed"
11|"DigIndustrial Art"|"Digital Art"|"Art"|"US"|"USD"|"2014-06-19 00:00:00"|"2014-07-09 00:00:00"|20|30000.0|111.0|4|"failed"
12|"Expanding Farm to service the local Food Bank"|"Farms"|"Food"|"US"|"USD"|"2016-06-13 00:00:00"|"2016-07-13 00:00:00"|30|2500.0|405.0|5|"failed"
13|"Church Hive. Church hiring made easy!"|"Web"|"Technology"|"US"|"USD"|"2016-09-01 00:00:00"|"2016-10-01 00:00:00"|30|16800.0|101.0|2|"failed"
14|"The Visual Media Directory Project"|"Public Art"|"Art"|"US"|"USD"|"2012-03-07 00:00:00"|"2012-05-06 00:00:00"|60|10000.0|2.0|2|"failed"
15|"Too Sweet - The Not So Serious Side to Diabetes"|"Nonfiction"|"Publishing"|"US"|"USD"|"2014-01-16 00:00:00"|"2014-02-15 00:00:00"|30|2500.0|2525.0|6|"successful"
16|"“Baby Hungry” Short Film Finishing Funds"|"Shorts"|"Film & Video"|"US"|"USD"|"2010-10-27 00:00:00"|"2010-11-26 00:00:00"|30|1500.0|1525.0|23|"successful"
17|"Turn ""solvents-forgive yr. blood"" into 12 inches of vinyl!!"|"Music"|"Music"|"US"|"USD"|"2011-04-20 00:00:00"|"2011-05-20 00:00:00"|30|1000.0|1494.0|43|"successful"
18|"Fishin' for Chickens"|"Shorts"|"Film & Video"|"US"|"USD"|"2011-11-14 00:00:00"|"2011-11-30 00:00:00"|16|2695.0|3667.13|75|"successful"
19|"ROAM RECORD FUND"|"Rock"|"Music"|"US"|"USD"|"2010-09-29 00:00:00"|"2010-10-29 00:00:00"|30|5000.0|5847.0|99|"successful"
20|"William Charles and Dirt Road Trippers NEW EP"|"Rock"|"Music"|"US"|"USD"|"2012-10-09 00:00:00"|"2012-12-08 00:00:00"|60|800.0|425.0|8|"failed"
21|"Vega - Six String Theory - Alternative Rap Album Production"|"Hip-Hop"|"Music"|"US"|"USD"|"2014-04-14 00:00:00"|"2014-05-14 00:00:00"|30|3500.0|1.0|1|"failed"
22|"Life Planner"|"Product Design"|"Design"|"GB"|"GBP"|"2015-11-09 00:00:00"|"2015-12-08 00:00:00"|29|10004.09|4453.34|161|"failed"
23|"Number Ten Pond - 2014 Calendar"|"Photography"|"Photography"|"US"|"USD"|"2013-07-26 00:00:00"|"2013-08-20 00:00:00"|25|3800.0|1488.0|43|"failed"
24|"Chosen Gospel single 'Make me a Believer'"|"World Music"|"Music"|"GB"|"GBP"|"2013-08-13 00:00:00"|"2013-09-03 00:00:00"|21|701.02|20.25|3|"failed"
25|"OILOVE YOU"|"Food"|"Food"|"US"|"USD"|"2014-09-17 00:00:00"|"2014-11-07 00:00:00"|51|17000.0|20.0|1|"failed"
26|"Up Against The Downturn"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-06-22 00:00:00"|"2011-07-22 00:00:00"|30|5600.0|1026.0|9|"failed"
27|"Mosquito Wars"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-06-13 00:00:00"|"2012-07-13 00:00:00"|30|15000.0|1401.0|11|"failed"
28|"Bev's First Studio EP! - The Noble House of Pancake"|"Pop"|"Music"|"US"|"USD"|"2014-11-14 00:00:00"|"2014-12-14 00:00:00"|30|12000.0|12545.0|224|"successful"
29|"Clean Water For Africa"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2014-08-12 00:00:00"|"2014-10-11 00:00:00"|60|50.0|30.0|2|"failed"
30|"Mercurial Theatre Presents: HP Lovecraft's ""Call of Cthulhu"""|"Experimental"|"Theater"|"US"|"USD"|"2017-05-09 00:00:00"|"2017-06-08 00:00:00"|30|5000.0|1651.0|25|"failed"
31|"BLACKOUT: The Eradication Protocols"|"Comic Books"|"Comics"|"US"|"USD"|"2017-05-09 00:00:00"|"2017-06-18 00:00:00"|40|5200.0|6419.0|225|"successful"
32|"Men's Fashion, the next big thing."|"Fashion"|"Fashion"|"US"|"USD"|"2014-06-05 00:00:00"|"2014-07-05 00:00:00"|30|800.0|0.0|0|"failed"
33|"Jack Daniels Cake"|"Food"|"Food"|"US"|"USD"|"2014-07-18 00:00:00"|"2014-08-17 00:00:00"|30|3000.0|0.0|0|"failed"
34|"See the time in every timezone on earth on one Orbi Clock"|"Design"|"Design"|"US"|"USD"|"2014-02-19 00:00:00"|"2014-04-05 00:00:00"|45|8900.0|281.0|5|"failed"
35|"Moveable Movie Production Studios for Educators"|"Film & Video"|"Film & Video"|"DE"|"EUR"|"2017-01-22 00:00:00"|"2017-02-22 00:00:00"|31|10608.95|0.0|0|"failed"
36|"NASHVILLE RISES"|"Film & Video"|"Film & Video"|"US"|"USD"|"2011-01-27 00:00:00"|"2011-03-13 00:00:00"|45|4000.0|4001.0|15|"successful"
37|"Donald Trump Plush with Audio. Checklist on Back of Box."|"Product Design"|"Design"|"US"|"USD"|"2016-10-11 00:00:00"|"2016-11-08 00:00:00"|28|35000.0|185.0|6|"failed"
38|"Mind Magnet - Watch for teaching children to stay on task"|"Wearables"|"Technology"|"US"|"USD"|"2017-06-11 00:00:00"|"2017-07-11 00:00:00"|30|25000.0|0.0|0|"canceled"
39|"Cold War 2"|"Video Games"|"Games"|"US"|"USD"|"2014-05-11 00:00:00"|"2014-06-10 00:00:00"|30|2500.0|281.0|15|"failed"
40|"Jersey Shoresical:A Frickin' Rock Opera"|"Theater"|"Theater"|"US"|"USD"|"2011-06-17 00:00:00"|"2011-07-17 00:00:00"|30|8000.0|8086.0|73|"successful"
41|"Fridge Feet"|"Product Design"|"Design"|"US"|"USD"|"2013-12-07 00:00:00"|"2014-01-06 00:00:00"|30|20000.0|1254.0|49|"failed"
42|"Fat Boy's Nerd Emporium"|"Gaming Hardware"|"Games"|"US"|"USD"|"2014-07-16 00:00:00"|"2014-08-15 00:00:00"|30|5000.0|0.0|0|"failed"
43|"Little Fears Nightmare Edition - Blessed are the Children"|"Tabletop Games"|"Games"|"US"|"USD"|"2013-08-22 00:00:00"|"2013-09-21 00:00:00"|30|1500.0|9071.0|164|"successful"
44|"Lest We Forget"|"Comic Books"|"Comics"|"CA"|"CAD"|"2016-05-12 00:00:00"|"2016-06-11 00:00:00"|30|11627.01|82.16|3|"failed"
45|"1000 Haiku, 1000 Strangers"|"Poetry"|"Publishing"|"US"|"USD"|"2010-11-20 00:00:00"|"2010-12-25 00:00:00"|35|1500.0|5276.01|228|"successful"
46|"Field Reflections: The Final Painting"|"Painting"|"Art"|"US"|"USD"|"2012-09-12 00:00:00"|"2012-10-15 00:00:00"|33|3000.0|4268.0|18|"successful"
47|"The Kitchen: a space for participatory cooking & dining"|"Food"|"Food"|"US"|"USD"|"2012-12-06 00:00:00"|"2013-01-15 00:00:00"|40|40000.0|45026.0|309|"successful"
48|"The Harriet Experiment"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-01-18 00:00:00"|"2012-03-18 00:00:00"|60|70000.0|7071.0|91|"failed"
49|"The Modern Day Briefcase"|"Product Design"|"Design"|"US"|"USD"|"2016-03-01 00:00:00"|"2016-04-16 00:00:00"|46|40000.0|242014.0|1287|"successful"
50|"TOGA: The Holder | Upgrade | Keychain for EOS® Lip Balms"|"Product Design"|"Design"|"US"|"USD"|"2016-10-05 00:00:00"|"2016-11-04 00:00:00"|30|5000.0|912.0|19|"canceled"
51|"Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video"|"Technology"|"Technology"|"US"|"USD"|"2012-03-21 00:00:00"|"2012-04-11 00:00:00"|21|15000.0|26206.0|255|"successful"
52|"FLIE Rings - Colorful Anodized Aluminum Rings for Life"|"Accessories"|"Fashion"|"US"|"USD"|"2015-08-06 00:00:00"|"2015-09-05 00:00:00"|30|2000.0|10604.0|285|"successful"
53|"""Friday Night Monkey Fights"" the Mobile App!"|"Video Games"|"Games"|"US"|"USD"|"2012-01-12 00:00:00"|"2012-02-11 00:00:00"|30|30000.0|30.0|2|"failed"
54|"GIULIA"|"Shorts"|"Film & Video"|"US"|"USD"|"2012-04-05 00:00:00"|"2012-05-15 00:00:00"|40|6000.0|6000.0|35|"successful"
55|"Personalised full length novels for children"|"Children's Books"|"Publishing"|"GB"|"GBP"|"2017-05-16 00:00:00"|"2017-06-15 00:00:00"|30|6384.55|40.86|1|"failed"
56|"Publish my first horror novel, make a trailer & short films"|"Horror"|"Film & Video"|"US"|"USD"|"2014-07-15 00:00:00"|"2014-08-14 00:00:00"|30|20000.0|310.0|3|"failed"
57|"1,000 Stars Festival, Documentary "|"Documentary"|"Film & Video"|"US"|"USD"|"2009-09-28 00:00:00"|"2009-10-24 00:00:00"|26|5000.0|5117.0|32|"successful"
58|"Fittersift: Introducing Responsive Textile Technology"|"Apparel"|"Fashion"|"US"|"USD"|"2014-12-15 00:00:00"|"2015-01-29 00:00:00"|45|25000.0|978.0|8|"failed"
59|"Jake Jude T-Shirt (Official)"|"Apparel"|"Fashion"|"US"|"USD"|"2014-09-15 00:00:00"|"2014-09-29 00:00:00"|14|375.0|0.0|0|"failed"
60|"Chris Henry and The Hardcore Grass"|"Music"|"Music"|"US"|"USD"|"2012-06-08 00:00:00"|"2012-07-08 00:00:00"|30|10000.0|2470.0|46|"failed"
61|"A wee Coffee"|"Drinks"|"Food"|"GB"|"GBP"|"2015-09-08 00:00:00"|"2015-10-09 00:00:00"|31|33746.99|15.34|1|"failed"
62|"The Horde and the Harem - Full Length Album!"|"Pop"|"Music"|"US"|"USD"|"2011-05-05 00:00:00"|"2011-07-04 00:00:00"|60|5000.0|5475.0|55|"successful"
63|"Letters To Me"|"Nonfiction"|"Publishing"|"US"|"USD"|"2017-07-11 00:00:00"|"2017-08-30 00:00:00"|50|50000.0|4373.0|30|"canceled"
64|"Knight's Destiny - Dungeon RPG/MMORPG"|"Video Games"|"Games"|"US"|"USD"|"2014-01-01 00:00:00"|"2014-02-15 00:00:00"|45|4000.0|306.0|9|"failed"
65|"Creatures of Habitat For Sale"|"Theater"|"Theater"|"US"|"USD"|"2010-01-01 00:00:00"|"2010-02-14 00:00:00"|44|2222.0|2246.0|56|"successful"
66|"Online therapist directory - Click For Therapy (Canceled)"|"Web"|"Technology"|"GB"|"GBP"|"2015-09-17 00:00:00"|"2015-10-17 00:00:00"|30|41590.93|0.0|0|"canceled"
67|"Lick My Assise!"|"Product Design"|"Design"|"US"|"USD"|"2015-09-30 00:00:00"|"2015-10-30 00:00:00"|30|50000.0|300.0|2|"failed"
68|"New EP from Jon Swift"|"Music"|"Music"|"US"|"USD"|"2012-03-03 00:00:00"|"2012-03-17 00:00:00"|14|2500.0|2880.0|61|"successful"
69|"Punch'em Scrunch'em Robots"|"Tabletop Games"|"Games"|"US"|"USD"|"2015-07-04 00:00:00"|"2015-08-03 00:00:00"|30|7000.0|1752.0|38|"failed"
70|"WE MEAN YOU NO HARM"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2014-10-13 00:00:00"|"2014-11-06 00:00:00"|24|8000.0|8046.0|60|"successful"
71|"Behind the Lens: Charlotte"|"Photobooks"|"Photography"|"US"|"USD"|"2014-04-29 00:00:00"|"2014-05-29 00:00:00"|30|10000.0|0.0|0|"failed"
72|"Blit - Mobile App to Screenshot Websites with Login"|"Apps"|"Technology"|"US"|"USD"|"2017-11-15 00:00:00"|"2017-12-27 00:00:00"|42|5000.0|57.0|2|"failed"
73|"""Must Be Nice"" at the Fillet of Solo Festival in Chicago"|"Theater"|"Theater"|"US"|"USD"|"2011-06-13 00:00:00"|"2011-07-13 00:00:00"|30|740.0|870.0|17|"successful"
74|"The Return Voyage of Christopher Mackenzie"|"Music"|"Music"|"US"|"USD"|"2012-04-04 00:00:00"|"2012-04-18 00:00:00"|14|1500.0|1592.0|57|"successful"
75|"NOZ"|"Product Design"|"Design"|"US"|"USD"|"2015-09-28 00:00:00"|"2015-11-27 00:00:00"|60|25000.0|668.0|26|"failed"
76|"Club Universe"|"Electronic Music"|"Music"|"US"|"USD"|"2012-03-17 00:00:00"|"2012-04-16 00:00:00"|30|10000.0|0.0|0|"failed"
77|"Taft Sturgeon"|"Comic Books"|"Comics"|"US"|"USD"|"2017-07-06 00:00:00"|"2017-07-30 00:00:00"|24|4000.0|4063.0|103|"successful"
78|"Samuel B. Lupowitz & The Ego Band - first album release"|"Rock"|"Music"|"US"|"USD"|"2012-04-06 00:00:00"|"2012-05-19 00:00:00"|43|2000.0|2345.0|40|"successful"
79|"Bringing Jamaican Patties To Your Neck Of The Wood"|"Restaurants"|"Food"|"US"|"USD"|"2015-04-09 00:00:00"|"2015-06-08 00:00:00"|60|125000.0|206.0|3|"failed"
80|"THE AVENUE"|"Blues"|"Music"|"US"|"USD"|"2015-09-29 00:00:00"|"2015-10-29 00:00:00"|30|2500.0|2500.0|39|"successful"
81|"Personalized Picture Slide Lamps"|"Product Design"|"Design"|"US"|"USD"|"2015-01-09 00:00:00"|"2015-02-08 00:00:00"|30|75.0|1.0|1|"failed"
82|"Drone on the Farm: An Aerial Exposé"|"Journalism"|"Journalism"|"US"|"USD"|"2014-06-09 00:00:00"|"2014-07-09 00:00:00"|30|30000.0|75064.49|1312|"successful"
83|"Employee evaluation and performance management web app"|"Software"|"Technology"|"GB"|"GBP"|"2017-08-22 00:00:00"|"2017-09-21 00:00:00"|30|2035.22|67.84|1|"failed"
84|"Berghain: A Game for 2–6 Players About Getting In"|"Tabletop Games"|"Games"|"SE"|"SEK"|"2016-11-07 00:00:00"|"2016-12-07 00:00:00"|30|9806.06|6720.96|240|"suspended"
85|"""Deferral"": A Video Installation by EL Putnam"|"Performance Art"|"Art"|"US"|"USD"|"2011-03-15 00:00:00"|"2011-04-30 00:00:00"|46|1000.0|5.0|1|"failed"
86|"Help Lancaster Make Their Next Album!"|"Rock"|"Music"|"US"|"USD"|"2014-03-07 00:00:00"|"2014-04-06 00:00:00"|30|15750.0|2587.11|29|"failed"
87|"DAME - Introvert Dame - ""Bad Biti"" Music Video First Single"|"Hip-Hop"|"Music"|"US"|"USD"|"2017-11-21 00:00:00"|"2017-12-21 00:00:00"|30|600.0|0.0|0|"failed"
88|"Steve Shane's ""Every Pretty Smile"" Music Video"|"Pop"|"Music"|"US"|"USD"|"2011-04-21 00:00:00"|"2011-05-21 00:00:00"|30|2000.0|2251.0|52|"successful"
89|"Carousel Love (Canceled)"|"Art"|"Art"|"GB"|"GBP"|"2014-11-05 00:00:00"|"2014-12-05 00:00:00"|30|3921.45|54.9|1|"canceled"
90|"Maggie, Therapy Dog in Training's 1st Car Sticker Pre-Order!"|"Public Art"|"Art"|"US"|"USD"|"2015-07-10 00:00:00"|"2015-07-19 00:00:00"|9|500.0|61.0|4|"failed"
91|"Metro760 LGBT Newspaper for the Palm Springs CA area"|"Publishing"|"Publishing"|"N,0"""|"USD"|"2015-02-06 00:00:00"|"2015-02-28 00:00:00"|22|7500.0|0.0|0|"undefined"
92|"Ahead of the Chains"|"Nonfiction"|"Publishing"|"US"|"USD"|"2017-10-18 00:00:00"|"2017-11-27 00:00:00"|40|9000.0|9170.0|53|"successful"
93|"Tiles Publications"|"Poetry"|"Publishing"|"US"|"USD"|"2014-07-15 00:00:00"|"2014-08-16 00:00:00"|32|4000.0|711.0|20|"failed"
94|"Nudz: Banishing Beige as the Default Nude for Lingerie"|"Fashion"|"Fashion"|"US"|"USD"|"2015-07-13 00:00:00"|"2015-08-19 00:00:00"|37|30000.0|31376.0|108|"successful"
95|"THE WINGCASE - The Smartest Briefcase in the World."|"Product Design"|"Design"|"DE"|"EUR"|"2016-10-03 00:00:00"|"2016-11-02 00:00:00"|30|27732.48|55619.77|166|"successful"
96|"The Yowler: a community built DIY noise synth"|"Sound"|"Technology"|"AU"|"AUD"|"2016-11-30 00:00:00"|"2017-01-01 00:00:00"|32|2934.7|6883.35|105|"successful"
97|"Natalie Wells Band brand new recording project!"|"Rock"|"Music"|"US"|"USD"|"2013-05-25 00:00:00"|"2013-06-24 00:00:00"|30|6750.0|2245.0|32|"failed"
98|"Central Florida Music Commissioning Project"|"Music"|"Music"|"US"|"USD"|"2016-07-06 00:00:00"|"2016-08-05 00:00:00"|30|18000.0|1979.0|16|"canceled"
99|"LFC & LOCO Bubble Soccer (Canceled)"|"Games"|"Games"|"US"|"USD"|"2016-02-12 00:00:00"|"2016-03-14 00:00:00"|31|50000.0|5816.0|24|"canceled"
100|"""My Favorite Color is Brown"""|"Children's Books"|"Publishing"|"US"|"USD"|"2011-12-26 00:00:00"|"2012-02-24 00:00:00"|60|5000.0|20.0|1|"failed"
101|"UBER Taxi Cab Confessions"|"Nonfiction"|"Publishing"|"US"|"USD"|"2017-02-18 00:00:00"|"2017-03-25 00:00:00"|35|1500.0|9.0|1|"canceled"
102|"Enamel Pin: Stay the Course"|"Accessories"|"Fashion"|"CA"|"CAD"|"2017-07-12 00:00:00"|"2017-08-01 00:00:00"|20|795.42|465.32|27|"failed"
103|"Mal-Mart Mega Store - Burning Man 2010"|"Performance Art"|"Art"|"US"|"USD"|"2010-07-28 00:00:00"|"2010-08-23 00:00:00"|26|1500.0|1620.0|16|"successful"
104|"Try and Review all the Microwave Recipes I Ever Find"|"Cookbooks"|"Food"|"US"|"USD"|"2015-02-23 00:00:00"|"2015-03-25 00:00:00"|30|100.0|0.0|0|"failed"
105|"Gluten Free Cookies with an Old Fashioned Taste!"|"Food"|"Food"|"US"|"USD"|"2012-09-19 00:00:00"|"2012-11-05 00:00:00"|47|10000.0|1486.0|27|"failed"
106|"The Demons Within"|"Fiction"|"Publishing"|"US"|"USD"|"2017-10-01 00:00:00"|"2017-11-05 00:00:00"|35|2200.0|2225.0|48|"successful"
107|"Pro Pinball®: Revived & Remastered"|"Video Games"|"Games"|"US"|"USD"|"2012-09-05 00:00:00"|"2012-10-05 00:00:00"|30|400000.0|174010.09|1296|"failed"
108|"BlueKangaroo - Do more with your Bluetooth Location Trackers"|"Technology"|"Technology"|"US"|"USD"|"2016-04-19 00:00:00"|"2016-05-24 00:00:00"|35|8000.0|1028.0|24|"failed"
109|"Breaker Blocks"|"Tabletop Games"|"Games"|"US"|"USD"|"2015-11-12 00:00:00"|"2015-12-12 00:00:00"|30|8000.0|1643.0|55|"failed"
110|"My Hip Hop Debut: The Yamazawa EP"|"Hip-Hop"|"Music"|"US"|"USD"|"2016-01-20 00:00:00"|"2016-02-12 00:00:00"|23|3000.0|4229.0|81|"successful"
111|"Translation for my father's novel"|"Translations"|"Publishing"|"US"|"USD"|"2011-04-05 00:00:00"|"2011-07-04 00:00:00"|90|12000.0|12080.0|30|"successful"
112|"""An Adventure with Friends"", a family friendly comedy"|"Film & Video"|"Film & Video"|"US"|"USD"|"2011-08-30 00:00:00"|"2011-09-29 00:00:00"|30|12000.0|225.0|3|"failed"
113|"SPOUGEFEST"|"World Music"|"Music"|"US"|"USD"|"2016-03-26 00:00:00"|"2016-05-24 00:00:00"|59|25000.0|50.0|1|"failed"
114|"Become a part of Papi Churro - THE NEXT CHAPTER!"|"Food Trucks"|"Food"|"NL"|"EUR"|"2017-12-08 00:00:00"|"2018-01-07 00:00:00"|30|6068.48|2230.77|9|"live"
115|"Dogbed"|"Product Design"|"Design"|"US"|"USD"|"2016-01-08 00:00:00"|"2016-02-07 00:00:00"|30|2000.0|30.0|2|"failed"
116|"Gothic Line Museum - Il Museo della Linea Gotica"|"Art"|"Art"|"IT"|"EUR"|"2017-11-13 00:00:00"|"2018-01-12 00:00:00"|60|121369.53|316.77|4|"live"
117|"Paul Dietrich Quintet debut album - ""We Always Get There"""|"Jazz"|"Music"|"US"|"USD"|"2013-10-31 00:00:00"|"2013-11-28 00:00:00"|28|3000.0|3260.0|77|"successful"
118|"A Story about an alcoholic wizard who fucks bitches."|"Fiction"|"Publishing"|"US"|"USD"|"2015-08-06 00:00:00"|"2015-09-05 00:00:00"|30|500.0|10.0|2|"failed"
119|"EAST Urban Salsa"|"Small Batch"|"Food"|"US"|"USD"|"2016-04-01 00:00:00"|"2016-05-01 00:00:00"|30|8000.0|0.0|0|"failed"
120|"VR Homebox"|"Apps"|"Technology"|"US"|"USD"|"2015-10-01 00:00:00"|"2015-11-20 00:00:00"|50|200000.0|170.0|5|"failed"
121|"Colour Chess + Lure - Two games, one colourful board!"|"Tabletop Games"|"Games"|"GB"|"GBP"|"2017-03-24 00:00:00"|"2017-04-14 00:00:00"|21|4472.39|4864.68|81|"successful"
122|"The Truckiest Truck"|"Web"|"Technology"|"US"|"USD"|"2017-07-02 00:00:00"|"2017-08-01 00:00:00"|30|210.0|80.0|6|"failed"
123|"THE CANDYMAN: He mixes it with love"|"Food"|"Food"|"US"|"USD"|"2015-04-07 00:00:00"|"2015-05-17 00:00:00"|40|20000.0|150.0|2|"failed"
124|"Michael fitness You-tuber Channel"|"Documentary"|"Film & Video"|"GB"|"GBP"|"2015-01-02 00:00:00"|"2015-02-01 00:00:00"|30|3829.48|3.06|2|"failed"
125|"the Kurdi Margolis Wright Trio @ CCLC Trescott ME"|"Experimental"|"Theater"|"US"|"USD"|"2016-03-23 00:00:00"|"2016-04-02 00:00:00"|10|600.0|20.0|1|"failed"
126|"Clive Barker Presents: The Sickness - A Trailer with Bite"|"Shorts"|"Film & Video"|"US"|"USD"|"2011-06-21 00:00:00"|"2011-07-21 00:00:00"|30|7500.0|7800.0|69|"successful"
127|"Lost Orchards Finish Long Forgotten EP"|"Indie Rock"|"Music"|"US"|"USD"|"2012-10-03 00:00:00"|"2012-12-02 00:00:00"|60|700.0|734.5|34|"successful"
128|"Sindicate  3D - Rol Game"|"Mobile Games"|"Games"|"ES"|"EUR"|"2015-08-27 00:00:00"|"2015-09-26 00:00:00"|30|22319.93|0.0|0|"failed"
129|"Between the Shadow and the Soul"|"Dance"|"Dance"|"US"|"USD"|"2012-07-24 00:00:00"|"2012-09-10 00:00:00"|48|1000.0|1000.0|21|"successful"
130|"The Step Afrika! Experience! "|"Dance"|"Dance"|"US"|"USD"|"2010-10-11 00:00:00"|"2010-11-25 00:00:00"|45|2500.0|2685.0|18|"successful"
131|"Tell Me Something"|"Nonfiction"|"Publishing"|"US"|"USD"|"2013-03-07 00:00:00"|"2013-04-06 00:00:00"|30|20000.0|26936.4|445|"successful"
132|"My First Fiction Novel"|"Fiction"|"Publishing"|"US"|"USD"|"2015-02-19 00:00:00"|"2015-04-20 00:00:00"|60|12000.0|0.0|0|"failed"
133|"One Country United (Canceled)"|"Apparel"|"Fashion"|"US"|"USD"|"2016-06-24 00:00:00"|"2016-07-24 00:00:00"|30|8000.0|0.0|0|"canceled"
134|"Groove in the Grove"|"Music"|"Music"|"US"|"USD"|"2015-07-09 00:00:00"|"2015-07-30 00:00:00"|21|300.0|0.0|0|"failed"
135|"""The Vicarious Eye""Artist's Residency with a conscience"|"Public Art"|"Art"|"US"|"USD"|"2013-11-22 00:00:00"|"2013-12-22 00:00:00"|30|4303.0|0.0|0|"canceled"
136|"? Infinity Edition Galaxy Cards ?"|"Tabletop Games"|"Games"|"US"|"USD"|"2013-10-09 00:00:00"|"2013-10-17 00:00:00"|8|88.0|4587.0|155|"successful"
137|"Catch the Leprechaun"|"Mobile Games"|"Games"|"US"|"USD"|"2015-03-05 00:00:00"|"2015-04-04 00:00:00"|30|450.0|0.0|0|"failed"
138|"COUPLE FRIENDS, a comedy short"|"Shorts"|"Film & Video"|"US"|"USD"|"2015-03-19 00:00:00"|"2015-04-18 00:00:00"|30|5000.0|5001.0|68|"successful"
139|"Insecticides made using Olive Oil & other Edible Ingredients"|"Farms"|"Food"|"US"|"USD"|"2015-08-31 00:00:00"|"2015-09-30 00:00:00"|30|8700.0|2046.0|15|"failed"
140|"American retro diner"|"Restaurants"|"Food"|"ES"|"EUR"|"2015-12-10 00:00:00"|"2016-01-09 00:00:00"|30|218281.04|0.0|0|"failed"
141|"BICYCLE DAY Lives!!!!"|"Film & Video"|"Film & Video"|"US"|"USD"|"2013-02-26 00:00:00"|"2013-03-28 00:00:00"|30|5000.0|5316.0|81|"successful"
142|"THE PRESIDENT CAPTURED: THE DOCUMENTARY"|"Documentary"|"Film & Video"|"US"|"USD"|"2015-07-02 00:00:00"|"2015-08-10 00:00:00"|39|19995.0|2751.0|14|"failed"
143|"Aki - The Best Minimalist Bifold Slim Wallet"|"Product Design"|"Design"|"AU"|"AUD"|"2015-10-06 00:00:00"|"2015-11-20 00:00:00"|45|3604.64|93856.97|1415|"successful"
144|"March Forth"|"Fiction"|"Publishing"|"US"|"USD"|"2016-02-09 00:00:00"|"2016-02-24 00:00:00"|15|1000.0|26.0|2|"failed"
145|"Rediscovering authentic & stunning home cooking."|"Food"|"Food"|"US"|"USD"|"2016-01-28 00:00:00"|"2016-02-27 00:00:00"|30|4500.0|1.0|1|"failed"
146|"Invitations and Party Decorations"|"Graphic Design"|"Design"|"US"|"USD"|"2014-07-12 00:00:00"|"2014-08-26 00:00:00"|45|400.0|0.0|0|"failed"
147|"Faire De Largent Mula"|"Apparel"|"Fashion"|"US"|"USD"|"2015-02-09 00:00:00"|"2015-03-11 00:00:00"|30|20000.0|0.0|0|"failed"
148|"Super Awesome scavanger hunt (Suspended)"|"Games"|"Games"|"US"|"USD"|"2013-01-02 00:00:00"|"2013-02-16 00:00:00"|45|250.0|0.0|0|"suspended"
149|"Earthly Pleasures: A Fashion Film"|"Shorts"|"Film & Video"|"GB"|"GBP"|"2013-06-12 00:00:00"|"2013-07-01 00:00:00"|19|2994.15|3048.04|21|"successful"
150|"Patrick and Cris Make A Movie (and you get a copy)"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2010-06-04 00:00:00"|"2010-07-25 00:00:00"|51|50000.0|5558.0|42|"failed"
151|"Wonder Sneakers: The Truly Hands-free Sneakers"|"Product Design"|"Design"|"HK"|"HKD"|"2016-12-24 00:00:00"|"2017-02-02 00:00:00"|40|73460.23|593.09|20|"canceled"
